BHO2       -0.18946E+04    0.48764E+03   -0.67647E+02    0.16616E+02   -0.12967E+01     4     Burrows 99
C-         -0.12749E+03    0.21658E+02    0.18451E+02   -0.27951E+01    0.17208E+00     2     Burrows 99
C2-        -0.99040E+03    0.13633E+03    0.24894E+02   -0.39342E+01    0.24655E+00     3     Burrows 99
C2H4       -0.22592E+04    0.56510E+03    0.36608E+02   -0.74328E+01    0.51929E+00     6     Burrows 99
NO2-       -0.11776E+04    0.26316E+03    0.24932E+02   -0.37697E+01    0.23723E+00     4     Burrows 99
H2N2       -0.11710E+04    0.31947E+03    0.24404E+02   -0.47698E+01    0.33391E+00     4     Burrows 99
H4N2       -0.17265E+04    0.53210E+03    0.34220E+02   -0.69271E+01    0.48655E+00     6     Burrows 99
CNN        -0.10749E+04    0.22655E+03    0.14135E+02   -0.28915E+01    0.21096E+00     3       Tsuji 73
NCN        -0.11866E+04    0.23311E+03    0.11815E+02   -0.25036E+01    0.18679E+00     3       Tsuji 73
C4N2       -0.32829E+04    0.65852E+03    0.97275E+01   -0.25224E+01    0.19222E+00     6     Burrows 99
NO2        -0.93976E+03    0.23796E+03    0.11918E+02   -0.22142E+01    0.15499E+00     3     Burrows 99
NO3        -0.11525E+04    0.39178E+03    0.99461E+01   -0.20114E+01    0.14558E+00     4     Burrows 99
N2O        -0.11142E+04    0.25056E+03    0.97253E+01   -0.19587E+01    0.14194E+00     3     Burrows 99
N2O4       -0.19384E+04    0.65973E+03    0.11090E+02   -0.25858E+01    0.19501E+00     6     Burrows 99
HNO        -0.84171E+03    0.20875E+03    0.15956E+02   -0.29718E+01    0.20566E+00     3     Burrows 99
HNO2       -0.12703E+04    0.34422E+03    0.16795E+02   -0.32785E+01    0.23007E+00     4     Burrows 99
HNO3       -0.15768E+04    0.49338E+03    0.18064E+02   -0.37058E+01    0.26411E+00     5     Burrows 99
CHNO       -0.17605E+04    0.35128E+03    0.18358E+02   -0.35964E+01    0.25181E+00     4     Burrows 99
O-         -0.14747E+03    0.20328E+02    0.17065E+02   -0.24457E+01    0.15018E+00     2     Burrows 99
O2-        -0.54846E+03    0.13208E+03    0.21857E+02   -0.32445E+01    0.20173E+00     3     Burrows 99
