Cl2Si   -858.748      210.663      11.6355     -2.12987     0.146830     3
HP      -279.662      77.7443      10.4003     -1.97148     0.138982     2
H2P     -628.013      230.098     -27.4819      4.98531    -0.306749     3
H3P     -943.105      286.435      30.6649     -6.20295     0.445670     4
CP      -581.965      102.037      7.86115     -1.42574     0.105229     2
PN      -683.146      102.346      8.17070     -1.50635     0.111570     2
PO      -588.028      98.6496      7.55575     -1.37109     0.100520     2
PO2     -1126.32      225.245      13.6644     -2.66988     0.196901     3
PS      -453.759      94.2672      6.17130     -1.06943     0.078743     2
FP      -446.766      93.8172      7.72515     -1.47775     0.106721     2
F2P     -960.846      212.100      12.6229     -2.43342     0.177461     3
ClP     -307.683      87.5897      6.54794     -1.16141     0.084108     2
COS     -1378.25      249.377      14.2056     -2.99930     0.219259     3
SO2     -1069.07      234.938      16.5534     -3.31327     0.237556     3
SSO     -858.505      216.932     -52.8020      9.88499    -0.671135     3
SO3     -1415.47      384.818      21.1705     -4.45736     0.327002     4
Cl-     -355.414      28.6130      18.5693     -2.73554     0.169481     2
Cl2     -241.450      103.424      8.92079     -1.68831     0.114954     2
CCl     -334.843      95.6933      7.88768     -1.44044     0.098785     2
CCl2    -718.657      218.823      11.7073     -2.62450     0.198333     3
CCl3    -997.679      349.303      14.9517     -3.09149     0.223623     4
CCl4    -1293.56      500.366      15.3279     -3.38461     0.249792     5
ClO     -267.856      95.7806      8.88543     -1.68195     0.116736     2
ClO2    -511.984      223.014      15.2301     -3.06121     0.218004     3
Cl2O    -401.406      217.067      13.0108     -2.49205     0.175107     3
ClS     -240.790      92.5768      6.87778     -1.21996     0.083245     2
Cl2S    -534.999      210.918      12.2846     -2.30281     0.161016     3
ClHO    -659.977      195.924      20.7000     -3.92836     0.270968     3
CClO    -1147.39      211.795      14.6661     -2.80853     0.198408     3
HK      -182.812      74.0394      7.07402     -1.42127     0.109634     2
KO      -265.930      80.4240      5.31001     -1.06436     0.084982     2
FK      -494.060      89.5311      6.12046     -1.19778     0.093595     2
CaO     -381.542      90.9014      10.2581     -2.86534     0.233883     2
CaS     -330.399      87.6660      8.13890     -2.58195     0.228835     2
FTi     -618.441      100.033      3.34339     -0.67845     0.062053     2
F2Ti    -1317.91      236.919      8.68097     -1.82695     0.140770     3
ClTi    -439.283      94.7495      2.93291     -0.58037     0.053724     2
Cl2Ti   -951.472      227.939      7.52615     -1.51876     0.115757     3
VN      -463.173      96.7296      11.0335     -2.05732     0.147170     2
CrN     -364.107      94.8755      6.54206     -1.05466     0.083222     2
CrO     -457.144      93.6573      6.63320     -1.09101     0.087270     2
CrO2    -968.529      221.956      12.1463     -2.23399     0.172660     3
FeO     -412.058      95.8383      10.1301     -1.87143     0.134969     2
FeS     -292.448     -2.96381      60.6677     -12.0568     0.847857     2
FFe     -445.803      95.6087      9.37403     -1.68956     0.123570     2
