 
 Stellar Parameters:
 ==================
 Teff =  2500.00  logg =  4.50  mixLengthPara =  2.00  OvershotPara =  2.20
  13 deep element abundances
           1 H    1.00000000000000     
           6 C   2.454708915685033E-004
           7 N   6.025595860743581E-005
           8 O   4.570881896148752E-004
          11 Na  1.479108388168207E-006
          12 Mg  3.388441561392028E-005
          13 Al  2.344228815319923E-006
          14 Si  3.235936569296281E-005
          16 S   1.380384264602884E-005
          19 K   1.202264434617413E-007
          20 Ca  2.041737944669527E-006
          22 Ti  7.943282347242822E-008
          26 Fe  2.818382931264455E-005
 
 Dust Parameters:
 ===============
 Nl =  1000  Vl =    3.136480E-20  Abschluss =  8
   1 nucleation species
 TiO2    
   7 dust species
 TiO2[s]   
 Mg2SiO4[s]
 SiO2[s]   
 Fe[s]     
 Al2O3[s]  
 MgO[s]    
 MgSiO3[s] 
   6 affected elements
          12 Mg
          14 Si
          22 Ti
           8 O 
          26 Fe
          13 Al
 
                   R                   T                 rho                   p                  L0                  L1                  L2                  L3     Vol%_TiO2[s]        Vol%_Mg2SiO4[s]     Vol%_SiO2[s]        Vol%_Fe[s]          Vol%_Al2O3[s]       Vol%_MgO[s]         Vol%_MgSiO3[s]               eps_Mg              eps_Si              eps_Ti              eps_O               eps_Fe              eps_Al
  2.059124242109E+10  1.135257910476E+03  2.958834606550E-13  1.196165463001E-02  3.139401129242E-06  9.900805278657E-13  3.122440909281E-19  9.847309657241E-26  9.999353306810E-01  1.953855548129E-05  1.340358480030E-05  3.268021106786E-06  4.704521329534E-07  9.395620193032E-06  1.859308528417E-05  3.388440903665E-05  3.235936108274E-05  2.228871608071E-09  4.569337657576E-04  2.818382800800E-05  2.344228711448E-06
  2.059116060109E+10  1.135267437738E+03  3.062479698191E-13  1.238071024950E-02  4.843633631463E-06  1.527564631521E-12  4.817568546716E-19  1.519343559490E-25  9.999031473403E-01  2.927362437203E-05  2.006997109783E-05  4.893791641200E-06  7.050570631778E-07  1.406930624409E-05  2.784090930949E-05  3.388440587449E-05  3.235935886706E-05  2.175254907850E-09  4.569336508556E-04  2.818382738124E-05  2.344228661373E-06
  2.059107878109E+10  1.135276964999E+03  3.169755376348E-13  1.281444674865E-02  6.747667598716E-06  2.128074785667E-12  6.711507683418E-19  2.116669921066E-25  9.998691054054E-01  3.957866003725E-05  2.711861225393E-05  6.613048819114E-06  9.535223883807E-07  1.901145683840E-05  3.761929422773E-05  3.388440259182E-05  3.235935656747E-05  2.123004526253E-09  4.569335383949E-04  2.818382673089E-05  2.344228609307E-06
  2.059099696109E+10  1.135286492260E+03  3.280788816925E-13  1.326337844637E-02  8.874888311697E-06  2.798989685335E-12  8.827540114830E-19  2.784056091153E-25  9.998330848770E-01  5.049089340498E-05  3.457403520996E-05  8.431805132086E-06  1.216751706306E-06  2.423932633769E-05  4.796231123958E-05  3.388439917563E-05  3.235935417486E-05  2.072084406323E-09  4.569334282718E-04  2.818382605439E-05  2.344228555042E-06
  2.059091514109E+10  1.135296019522E+03  3.395711650676E-13  1.372803767984E-02  1.125141470567E-05  3.548550922975E-12  1.119167143186E-18  3.529707895068E-25  9.997949553025E-01  6.205080377384E-05  4.246290156978E-05  1.035659657770E-05  1.495726982399E-06  2.977167101996E-05  5.890699760204E-05  3.388439561214E-05  3.235935167962E-05  2.022459464735E-09  4.569333203829E-04  2.818382534905E-05  2.344228498357E-06
  2.059083332109E+10  1.135305546783E+03  3.514660119254E-13  1.420897543571E-02  1.390641857637E-05  4.385963815328E-12  1.383294950006E-18  4.362791539804E-25  9.997545760099E-01  7.430205403200E-05  5.081395721516E-05  1.239447057274E-05  1.791506950941E-06  3.562871409366E-05  7.049328720120E-05  3.388439188677E-05  3.235934907157E-05  1.974095565178E-09  4.569332146247E-04  2.818382461199E-05  2.344228439018E-06
  2.059075150109E+10  1.135315074044E+03  3.637775236720E-13  1.470676200350E-02  1.687248105374E-05  5.321510015095E-12  1.678382020436E-18  5.293545995085E-25  9.997117955682E-01  8.729166145887E-05  5.965814133959E-05  1.455301282087E-05  2.105231217682E-06  4.183222254009E-05  8.276416239664E-05  3.388438798402E-05  3.235934633990E-05  1.926959492479E-09  4.569331108931E-04  2.818382384016E-05  2.344228376776E-06
  2.059066968109E+10  1.135324601306E+03  3.765202956724E-13  1.522198765185E-02  2.018599067195E-05  6.366673279270E-12  2.008052480739E-18  6.333408536404E-25  9.996664507746E-01  1.010703136949E-04  6.902879272241E-05  1.684039795736E-05  2.438127875903E-06  4.840565228816E-05  9.576594082537E-05  3.388438388745E-05  3.235934347314E-05  1.881018927419E-09  4.569330090837E-04  2.818382303035E-05  2.344228311366E-06
  2.059058786109E+10  1.135334643640E+03  3.897504265509E-13  1.575693012101E-02  2.388776384485E-05  7.534335429572E-12  2.376371883698E-18  7.495210203685E-25  9.996183655978E-01  1.156927055709E-04  7.896186267836E-05  1.926544204061E-05  2.791521658551E-06  5.537429863396E-05  1.095485716137E-04  3.388437958389E-05  3.235934046213E-05  1.836145267893E-09  4.569329089076E-04  2.818382217998E-05  2.344228242574E-06
  2.059050604109E+10  1.135346372867E+03  4.035844362529E-13  1.631632390324E-02  2.802733170340E-05  8.840128812022E-12  2.788273897785E-18  8.794521968518E-25  9.995673399567E-01  1.312211159446E-04  8.949817630656E-05  2.183815924795E-05  3.166921141007E-06  6.276689617729E-05  1.241687745189E-04  3.388437506218E-05  3.235933729912E-05  1.792100016347E-09  4.569328098609E-04  2.818382128689E-05  2.344228170215E-06
